,asset,day,price,return_1d,algo_return,rolling_beta,expected_return,market_adjusted_return,tomorrows_market_adjusted_return
52,AENO,1,112.94,-0.030641146682688247,-0.015100000000000002,,,,
53,LSST,1,114.53,0.008630559225011103,-0.015100000000000002,,,,
54,SRNA,1,133.21,-0.007598897414884731,-0.015100000000000002,,,,
55,ELLT,1,62.74,-0.021522145976294538,-0.015100000000000002,,,,
56,AMRP,1,23.96,-0.04351297405189625,-0.015100000000000002,,,,
57,OTCS,1,14.55,-0.008855585831062607,-0.015100000000000002,,,,
58,HETT,1,58.28,-0.01620526671168132,-0.015100000000000002,,,,
59,HUXZ,1,79.94,-0.04400861038029191,-0.015100000000000002,,,,
60,DUCT,1,19.22,-0.02486047691527149,-0.015100000000000002,,,,
61,SMAH,1,43.44,-0.014519056261342977,-0.015100000000000002,,,,
62,NPCK,1,14.74,-0.026420079260237816,-0.015100000000000002,,,,
63,MSDP,1,34.15,0.0011726766344180017,-0.015100000000000002,,,,
64,EORC,1,31.79,0.003472222222222099,-0.015100000000000002,,,,
65,CUBO,1,122.99,-0.01061861475343906,-0.015100000000000002,,,,
66,HRET,1,52.17,-0.008363429005892375,-0.015100000000000002,,,,
67,ANSO,1,41.68,-0.0011981787682721068,-0.015100000000000002,,,,
68,DIHO,1,12.37,-0.008019246190858142,-0.015100000000000002,,,,
69,RTTH,1,39.29,-0.013557619884509098,-0.015100000000000002,,,,
70,SPLZ,1,102.81,-0.014569155564075453,-0.015100000000000002,,,,
71,NWIG,1,120.04,-0.0012480239620600297,-0.015100000000000002,,,,
72,MMBT,1,75.19,-0.04581218274111676,-0.015100000000000002,,,,
73,MDGI,1,142.6,-0.013831258644536604,-0.015100000000000002,,,,
74,AGVF,1,134.82,-0.010713237452304125,-0.015100000000000002,,,,
75,RRES,1,37.06,-0.022163588390501254,-0.015100000000000002,,,,
76,CTGI,1,84.27,-0.025555041628122166,-0.015100000000000002,,,,
77,ALUT,1,17.55,0.004004576659038861,-0.015100000000000002,,,,
78,ACAC,1,74.0,0.010238907849829282,-0.015100000000000002,,,,
79,SRTX,1,283.39,-0.025447917741325488,-0.015100000000000002,,,,
80,GARI,1,15.47,-0.008333333333333304,-0.015100000000000002,,,,
81,RCRI,1,54.58,-0.001098096632503709,-0.015100000000000002,,,,
82,ACIX,1,16.11,-0.013472137170851162,-0.015100000000000002,,,,
83,CCNS,1,23.97,0.014817950889076892,-0.015100000000000002,,,,
84,MTNS,1,21.35,-0.039586144849302674,-0.015100000000000002,,,,
85,IHOZ,1,133.47,-0.019828155981493678,-0.015100000000000002,,,,
86,NAYO,1,33.5,0.004799040191961534,-0.015100000000000002,,,,
87,FWWG,1,37.23,0.0070327292399241514,-0.015100000000000002,,,,
88,EELT,1,76.08,0.016432865731462964,-0.015100000000000002,,,,
89,HRND,1,23.09,-0.04071458246780224,-0.015100000000000002,,,,
90,AETS,1,41.36,-0.037468000930881984,-0.015100000000000002,,,,
91,ULXY,1,44.12,-0.02497237569060784,-0.015100000000000002,,,,
92,BLBT,1,52.73,0.009573042312847058,-0.015100000000000002,,,,
93,BENI,1,32.25,-0.003707136237256603,-0.015100000000000002,,,,
94,ITPA,1,18.41,-0.021785334750265672,-0.015100000000000002,,,,
95,HTRK,1,10.77,-0.008287292817679592,-0.015100000000000002,,,,
96,NGTE,1,49.71,-0.05584045584045583,-0.015100000000000002,,,,
97,ILVX,1,31.66,-0.02823818293431546,-0.015100000000000002,,,,
98,FCSG,1,26.47,-0.03605243991260021,-0.015100000000000002,,,,
99,FARS,1,64.66,-0.026644588288424087,-0.015100000000000002,,,,
100,MHRM,1,22.1,-0.0138331102186523,-0.015100000000000002,,,,
101,EAFC,1,44.28,-0.017746228926353136,-0.015100000000000002,,,,
102,ALGO,2,97.83,-0.0067011879378616745,-0.0067011879378616745,,,,
103,AENO,2,112.7,-0.0021250221356472476,-0.0067011879378616745,,,,
104,LSST,2,112.17,-0.020605954771675483,-0.0067011879378616745,,,,
105,SRNA,2,132.8,-0.0030778470084827925,-0.0067011879378616745,,,,
106,ELLT,2,61.61,-0.018010838380618455,-0.0067011879378616745,,,,
107,AMRP,2,23.3,-0.027545909849749584,-0.0067011879378616745,,,,
108,OTCS,2,14.69,0.009621993127147732,-0.0067011879378616745,,,,
109,HETT,2,57.97,-0.005319148936170248,-0.0067011879378616745,,,,
110,HUXZ,2,81.2,0.015761821366024664,-0.0067011879378616745,,,,
111,DUCT,2,19.22,0.0,-0.0067011879378616745,,,,
112,SMAH,2,42.87,-0.013121546961325947,-0.0067011879378616745,,,,
113,NPCK,2,14.68,-0.004070556309362261,-0.0067011879378616745,,,,
114,MSDP,2,33.36,-0.023133235724743795,-0.0067011879378616745,,,,
115,EORC,2,31.55,-0.007549543881723797,-0.0067011879378616745,,,,
116,CUBO,2,122.11,-0.0071550532563622316,-0.0067011879378616745,,,,
117,HRET,2,53.63,0.02798543224075134,-0.0067011879378616745,,,,
118,ANSO,2,41.74,0.0014395393474089246,-0.0067011879378616745,,,,
119,DIHO,2,12.63,0.021018593371059158,-0.0067011879378616745,,,,
120,RTTH,2,39.44,0.0038177653346906926,-0.0067011879378616745,,,,
121,SPLZ,2,101.34,-0.014298220017508023,-0.0067011879378616745,,,,
122,NWIG,2,116.39,-0.030406531156281336,-0.0067011879378616745,,,,
123,MMBT,2,69.78,-0.07195105732145224,-0.0067011879378616745,,,,
124,MDGI,2,136.02,-0.046143057503506224,-0.0067011879378616745,,,,
125,AGVF,2,134.65,-0.0012609405132768536,-0.0067011879378616745,,,,
126,RRES,2,36.64,-0.011332973556395065,-0.0067011879378616745,,,,
127,CTGI,2,85.52,0.014833274000237262,-0.0067011879378616745,,,,
128,ALUT,2,17.59,0.002279202279202197,-0.0067011879378616745,,,,
129,ACAC,2,71.84,-0.029189189189189113,-0.0067011879378616745,,,,
130,SRTX,2,279.44,-0.013938388792829604,-0.0067011879378616745,,,,
131,GARI,2,15.84,0.023917259211376773,-0.0067011879378616745,,,,
132,RCRI,2,53.81,-0.014107731769879006,-0.0067011879378616745,,,,
133,ACIX,2,16.26,0.009310986964618406,-0.0067011879378616745,,,,
134,CCNS,2,24.17,0.008343763037129914,-0.0067011879378616745,,,,
135,MTNS,2,21.69,0.015925058548009297,-0.0067011879378616745,,,,
136,IHOZ,2,133.36,-0.0008241552408779773,-0.0067011879378616745,,,,
137,NAYO,2,32.64,-0.025671641791044753,-0.0067011879378616745,,,,
138,FWWG,2,37.53,0.008058017727639033,-0.0067011879378616745,,,,
139,EELT,2,76.36,0.003680336487907443,-0.0067011879378616745,,,,
140,HRND,2,22.96,-0.005630142919012537,-0.0067011879378616745,,,,
141,AETS,2,39.87,-0.03602514506769827,-0.0067011879378616745,,,,
142,ULXY,2,45.66,0.03490480507706262,-0.0067011879378616745,,,,
143,BLBT,2,53.23,0.009482268158543583,-0.0067011879378616745,,,,
144,BENI,2,32.23,-0.0006201550387597843,-0.0067011879378616745,,,,
145,ITPA,2,18.22,-0.010320478001086486,-0.0067011879378616745,,,,
146,HTRK,2,10.69,-0.00742804085422466,-0.0067011879378616745,,,,
147,NGTE,2,50.53,0.01649567491450421,-0.0067011879378616745,,,,
148,ILVX,2,30.84,-0.02590018951358186,-0.0067011879378616745,,,,
149,FCSG,2,25.28,-0.04495655459010195,-0.0067011879378616745,,,,
150,FARS,2,64.19,-0.007268790596968722,-0.0067011879378616745,,,,
151,MHRM,2,20.87,-0.05565610859728509,-0.0067011879378616745,,,,
152,EAFC,2,45.3,0.02303523035230337,-0.0067011879378616745,,,,
153,ALGO,3,98.02,0.0019421445364407042,0.0019421445364407042,,,,
154,AENO,3,112.26,-0.0039041703637976433,0.0019421445364407042,,,,
155,LSST,3,116.09,0.034946955513952105,0.0019421445364407042,,,,
156,SRNA,3,133.16,0.002710843373493921,0.0019421445364407042,,,,
157,ELLT,3,63.55,0.03148839474111331,0.0019421445364407042,,,,
158,AMRP,3,23.47,0.007296137339055653,0.0019421445364407042,,,,
159,OTCS,3,14.43,-0.017699115044247815,0.0019421445364407042,,,,
160,HETT,3,57.02,-0.016387786786268732,0.0019421445364407042,,,,
161,HUXZ,3,81.82,0.007635467980295463,0.0019421445364407042,,,,
162,DUCT,3,19.39,0.008844953173777315,0.0019421445364407042,,,,
163,SMAH,3,43.37,0.011663167716351674,0.0019421445364407042,,,,
164,NPCK,3,14.87,0.012942779291553075,0.0019421445364407042,,,,
165,MSDP,3,32.96,-0.011990407673860837,0.0019421445364407042,,,,
166,EORC,3,30.92,-0.019968304278922266,0.0019421445364407042,,,,
167,CUBO,3,120.21,-0.015559741216935596,0.0019421445364407042,,,,
168,HRET,3,53.8,0.003169867611411359,0.0019421445364407042,,,,
169,ANSO,3,41.83,0.002156205079060669,0.0019421445364407042,,,,
170,DIHO,3,12.76,0.010292953285827355,0.0019421445364407042,,,,
171,RTTH,3,38.8,-0.016227180527383367,0.0019421445364407042,,,,
172,SPLZ,3,100.05,-0.012729425695678032,0.0019421445364407042,,,,
173,NWIG,3,117.31,0.007904459145974707,0.0019421445364407042,,,,
174,MMBT,3,73.62,0.05503009458297514,0.0019421445364407042,,,,
175,MDGI,3,133.85,-0.015953536244669997,0.0019421445364407042,,,,
176,AGVF,3,134.33,-0.002376531748978783,0.0019421445364407042,,,,
177,RRES,3,36.44,-0.005458515283842891,0.0019421445364407042,,,,
178,CTGI,3,89.13,0.0422123479887746,0.0019421445364407042,,,,
179,ALUT,3,17.23,-0.02046617396247863,0.0019421445364407042,,,,
180,ACAC,3,72.4,0.007795100222717233,0.0019421445364407042,,,,
181,SRTX,3,276.45,-0.010699971371314065,0.0019421445364407042,,,,
182,GARI,3,15.65,-0.011994949494949503,0.0019421445364407042,,,,
183,RCRI,3,54.36,0.010221148485411558,0.0019421445364407042,,,,
184,ACIX,3,15.86,-0.024600246002460135,0.0019421445364407042,,,,
185,CCNS,3,23.87,-0.012412081092263216,0.0019421445364407042,,,,
186,MTNS,3,21.42,-0.012448132780082943,0.0019421445364407042,,,,
187,IHOZ,3,134.19,0.006223755248950136,0.0019421445364407042,,,,
188,NAYO,3,32.24,-0.01225490196078427,0.0019421445364407042,,,,
189,FWWG,3,38.05,0.01385558220090588,0.0019421445364407042,,,,
190,EELT,3,80.89,0.059324253535882665,0.0019421445364407042,,,,
191,HRND,3,23.37,0.017857142857142794,0.0019421445364407042,,,,
192,AETS,3,41.29,0.03561575119137195,0.0019421445364407042,,,,
193,ULXY,3,45.71,0.0010950503723172744,0.0019421445364407042,,,,
194,BLBT,3,52.67,-0.01052038324253235,0.0019421445364407042,,,,
195,BENI,3,32.2,-0.000930809804529753,0.0019421445364407042,,,,
196,ITPA,3,18.22,0.0,0.0019421445364407042,,,,
197,HTRK,3,10.28,-0.03835360149672595,0.0019421445364407042,,,,
198,NGTE,3,51.64,0.02196714822877488,0.0019421445364407042,,,,
199,ILVX,3,30.95,0.003566796368352776,0.0019421445364407042,,,,
200,FCSG,3,24.6,-0.026898734177215222,0.0019421445364407042,,,,
201,FARS,3,62.8,-0.02165446331204235,0.0019421445364407042,,,,
202,MHRM,3,20.95,0.003833253473885856,0.0019421445364407042,,,,
203,EAFC,3,46.32,0.02251655629139071,0.0019421445364407042,,,,
204,ALGO,4,99.13,0.011324219547031111,0.011324219547031111,,,,
205,AENO,4,113.59,0.01184749688223774,0.011324219547031111,,,,
206,LSST,4,119.58,0.03006288224653275,0.011324219547031111,,,,
207,SRNA,4,137.2,0.03033944127365573,0.011324219547031111,,,,
208,ELLT,4,63.64,0.0014162077104642457,0.011324219547031111,,,,
209,AMRP,4,23.61,0.005965061780996983,0.011324219547031111,,,,
210,OTCS,4,14.61,0.012474012474012364,0.011324219547031111,,,,
211,HETT,4,58.78,0.030866362679761394,0.011324219547031111,,,,
212,HUXZ,4,83.01,0.014544121241750307,0.011324219547031111,,,,
213,DUCT,4,19.91,0.026817947395564756,0.011324219547031111,,,,
214,SMAH,4,43.64,0.006225501498732022,0.011324219547031111,,,,
215,NPCK,4,14.92,0.00336247478143914,0.011324219547031111,,,,
216,MSDP,4,34.12,0.03519417475728148,0.011324219547031111,,,,
217,EORC,4,30.97,0.0016170763260023868,0.011324219547031111,,,,
218,CUBO,4,118.87,-0.011147159138174767,0.011324219547031111,,,,
219,HRET,4,54.14,0.006319702602230581,0.011324219547031111,,,,
220,ANSO,4,41.77,-0.001434377241214313,0.011324219547031111,,,,
221,DIHO,4,12.63,-0.010188087774294585,0.011324219547031111,,,,
222,RTTH,4,38.82,0.0005154639175257714,0.011324219547031111,,,,
223,SPLZ,4,105.26,0.052073963018490765,0.011324219547031111,,,,
224,NWIG,4,117.15,-0.001363907595260394,0.011324219547031111,,,,
225,MMBT,4,73.46,-0.0021733224667211948,0.011324219547031111,,,,
226,MDGI,4,134.42,0.004258498319013704,0.011324219547031111,,,,
227,AGVF,4,136.34,0.014963150450383322,0.011324219547031111,,,,
228,RRES,4,36.83,0.010702524698134042,0.011324219547031111,,,,
229,CTGI,4,89.09,-0.00044878267698855723,0.011324219547031111,,,,
230,ALUT,4,17.49,0.015089959373186135,0.011324219547031111,,,,
231,ACAC,4,74.57,0.029972375690607622,0.011324219547031111,,,,
232,SRTX,4,280.34,0.014071260625791338,0.011324219547031111,,,,
233,GARI,4,16.29,0.04089456869009567,0.011324219547031111,,,,
234,RCRI,4,54.65,0.005334805003679222,0.011324219547031111,,,,
235,ACIX,4,15.92,0.003783102143757988,0.011324219547031111,,,,
236,CCNS,4,24.16,0.012149141181399203,0.011324219547031111,,,,
237,MTNS,4,21.87,0.021008403361344463,0.011324219547031111,,,,
238,IHOZ,4,139.1,0.03658990982934651,0.011324219547031111,,,,
239,NAYO,4,31.65,-0.01830024813895792,0.011324219547031111,,,,
240,FWWG,4,37.44,-0.01603153745072272,0.011324219547031111,,,,
241,EELT,4,80.64,-0.003090616887130637,0.011324219547031111,,,,
242,HRND,4,23.07,-0.012836970474967901,0.011324219547031111,,,,
243,AETS,4,41.49,0.004843787842092606,0.011324219547031111,,,,
244,ULXY,4,47.14,0.031284182892146184,0.011324219547031111,,,,
245,BLBT,4,53.59,0.017467248908296984,0.011324219547031111,,,,
246,BENI,4,32.33,0.004037267080745144,0.011324219547031111,,,,
247,ITPA,4,18.25,0.0016465422612514935,0.011324219547031111,,,,
248,HTRK,4,10.5,0.021400778210116878,0.011324219547031111,,,,
249,NGTE,4,53.57,0.037374128582494226,0.011324219547031111,,,,
250,ILVX,4,31.49,0.017447495961227855,0.011324219547031111,,,,
251,FCSG,4,25.66,0.04308943089430883,0.011324219547031111,,,,
252,FARS,4,63.94,0.018152866242038268,0.011324219547031111,,,,
253,MHRM,4,20.72,-0.010978520286396232,0.011324219547031111,,,,
254,EAFC,4,45.56,-0.016407599309153698,0.011324219547031111,,,,
255,ALGO,5,98.65,-0.004842126500554711,-0.004842126500554711,,,,
256,AENO,5,110.95,-0.023241482524870127,-0.004842126500554711,,,,
257,LSST,5,118.05,-0.012794781736076288,-0.004842126500554711,,,,
258,SRNA,5,136.84,-0.0026239067055392473,-0.004842126500554711,,,,
259,ELLT,5,63.1,-0.008485229415461926,-0.004842126500554711,,,,
260,AMRP,5,22.84,-0.032613299449385846,-0.004842126500554711,,,,
261,OTCS,5,14.21,-0.0273785078713209,-0.004842126500554711,,,,
262,HETT,5,57.64,-0.0193943518203471,-0.004842126500554711,,,,
263,HUXZ,5,83.03,0.00024093482712927994,-0.004842126500554711,,,,
264,DUCT,5,19.53,-0.019085886489201398,-0.004842126500554711,,,,
265,SMAH,5,44.25,0.013978001833180542,-0.004842126500554711,,,,
266,NPCK,5,14.79,-0.008713136729222581,-0.004842126500554711,,,,
267,MSDP,5,33.06,-0.03106682297772556,-0.004842126500554711,,,,
268,EORC,5,31.39,0.013561511139812854,-0.004842126500554711,,,,
269,CUBO,5,114.19,-0.039370741145789534,-0.004842126500554711,,,,
270,HRET,5,52.09,-0.03786479497598816,-0.004842126500554711,,,,
271,ANSO,5,42.35,0.013885563801771639,-0.004842126500554711,,,,
272,DIHO,5,12.69,0.004750593824227822,-0.004842126500554711,,,,
273,RTTH,5,39.1,0.007212776919113928,-0.004842126500554711,,,,
274,SPLZ,5,108.31,0.028975869276078203,-0.004842126500554711,,,,
275,NWIG,5,115.78,-0.0116944088775075,-0.004842126500554711,,,,
276,MMBT,5,70.19,-0.04451402123604675,-0.004842126500554711,,,,
277,MDGI,5,134.41,-7.439369141493124e-05,-0.004842126500554711,,,,
278,AGVF,5,134.52,-0.01334898048995159,-0.004842126500554711,,,,
279,RRES,5,36.68,-0.004072766766223146,-0.004842126500554711,,,,
280,CTGI,5,89.01,-0.0008979683466157073,-0.004842126500554711,,,,
281,ALUT,5,18.1,0.034877072612921944,-0.004842126500554711,,,,
282,ACAC,5,73.78,-0.010594072683384637,-0.004842126500554711,,,,
283,SRTX,5,285.4,0.01804951130769772,-0.004842126500554711,,,,
284,GARI,5,16.17,-0.007366482504603922,-0.004842126500554711,,,,
285,RCRI,5,54.02,-0.011527904849039206,-0.004842126500554711,,,,
286,ACIX,5,15.94,0.0012562814070351536,-0.004842126500554711,,,,
287,CCNS,5,23.87,-0.012003311258278138,-0.004842126500554711,,,,
288,MTNS,5,22.48,0.027892089620484617,-0.004842126500554711,,,,
289,IHOZ,5,139.17,0.0005032350826743581,-0.004842126500554711,,,,
290,NAYO,5,31.63,-0.0006319115323853985,-0.004842126500554711,,,,
291,FWWG,5,37.2,-0.0064102564102562765,-0.004842126500554711,,,,
292,EELT,5,79.68,-0.011904761904761862,-0.004842126500554711,,,,
293,HRND,5,23.19,0.005201560468140576,-0.004842126500554711,,,,
294,AETS,5,42.49,0.02410219329959018,-0.004842126500554711,,,,
295,ULXY,5,45.23,-0.0405176071277048,-0.004842126500554711,,,,
296,BLBT,5,54.34,0.013995148348572517,-0.004842126500554711,,,,
297,BENI,5,31.93,-0.012372409526755335,-0.004842126500554711,,,,
298,ITPA,5,18.1,-0.008219178082191747,-0.004842126500554711,,,,
299,HTRK,5,10.56,0.005714285714285783,-0.004842126500554711,,,,
300,NGTE,5,54.5,0.0173604629456785,-0.004842126500554711,,,,
301,ILVX,5,31.38,-0.003493172435693803,-0.004842126500554711,,,,
302,FCSG,5,25.23,-0.016757599376461374,-0.004842126500554711,,,,
303,FARS,5,63.78,-0.0025023459493274114,-0.004842126500554711,,,,
304,MHRM,5,20.45,-0.013030888030888033,-0.004842126500554711,,,,
305,EAFC,5,46.42,0.018876207199297612,-0.004842126500554711,,,,
306,ALGO,6,99.9,0.012671059300557452,0.012671059300557452,,,,
307,AENO,6,111.0,0.00045065344749883884,0.012671059300557452,,,,
308,LSST,6,120.2,0.018212621770436366,0.012671059300557452,,,,
309,SRNA,6,136.55,-0.0021192633732826094,0.012671059300557452,,,,
310,ELLT,6,64.33,0.01949286846275755,0.012671059300557452,,,,
311,AMRP,6,21.97,-0.038091068301225994,0.012671059300557452,,,,
312,OTCS,6,14.03,-0.012667135819845243,0.012671059300557452,,,,
313,HETT,6,58.18,0.00936849410131857,0.012671059300557452,,,,
314,HUXZ,6,85.42,0.028784776586775918,0.012671059300557452,,,,
315,DUCT,6,19.27,-0.01331285202252952,0.012671059300557452,,,,
316,SMAH,6,45.65,0.031638418079096065,0.012671059300557452,,,,
317,NPCK,6,14.25,-0.03651115618661249,0.012671059300557452,,,,
318,MSDP,6,33.25,0.005747126436781436,0.012671059300557452,,,,
319,EORC,6,31.67,0.008920038228735327,0.012671059300557452,,,,
320,CUBO,6,114.6,0.0035905070496540237,0.012671059300557452,,,,
321,HRET,6,50.81,-0.024572854674601685,0.012671059300557452,,,,
322,ANSO,6,43.3,0.022432113341204207,0.012671059300557452,,,,
323,DIHO,6,13.03,0.026792750197005555,0.012671059300557452,,,,
324,RTTH,6,40.59,0.038107416879795464,0.012671059300557452,,,,
325,SPLZ,6,113.39,0.04690240974979232,0.012671059300557452,,,,
326,NWIG,6,115.26,-0.004491276558991175,0.012671059300557452,,,,
327,MMBT,6,75.01,0.06867075081920504,0.012671059300557452,,,,
328,MDGI,6,136.58,0.016144632095826283,0.012671059300557452,,,,
329,AGVF,6,137.74,0.023936961046684413,0.012671059300557452,,,,
330,RRES,6,38.58,0.05179934569247546,0.012671059300557452,,,,
331,CTGI,6,92.2,0.03583866981238071,0.012671059300557452,,,,
332,ALUT,6,18.35,0.013812154696132506,0.012671059300557452,,,,
333,ACAC,6,72.83,-0.012876118189211194,0.012671059300557452,,,,
334,SRTX,6,295.06,0.033847231955150825,0.012671059300557452,,,,
335,GARI,6,16.29,0.007421150278293043,0.012671059300557452,,,,
336,RCRI,6,56.12,0.0388744909292853,0.012671059300557452,,,,
337,ACIX,6,15.7,-0.01505646173149311,0.012671059300557452,,,,
338,CCNS,6,24.78,0.038123167155425186,0.012671059300557452,,,,
339,MTNS,6,22.75,0.012010676156583688,0.012671059300557452,,,,
340,IHOZ,6,140.22,0.007544729467557687,0.012671059300557452,,,,
341,NAYO,6,32.76,0.03572557698387602,0.012671059300557452,,,,
342,FWWG,6,37.41,0.005645161290322331,0.012671059300557452,,,,
343,EELT,6,86.78,0.08910642570281113,0.012671059300557452,,,,
344,HRND,6,23.83,0.027598102630443933,0.012671059300557452,,,,
345,AETS,6,41.48,-0.02377029889385751,0.012671059300557452,,,,
346,ULXY,6,46.16,0.020561574176431563,0.012671059300557452,,,,
347,BLBT,6,54.76,0.007729112992270748,0.012671059300557452,,,,
348,BENI,6,32.01,0.0025054807391167166,0.012671059300557452,,,,
349,ITPA,6,18.38,0.015469613259668336,0.012671059300557452,,,,
350,HTRK,6,10.67,0.010416666666666519,0.012671059300557452,,,,
351,NGTE,6,53.39,-0.020366972477064205,0.012671059300557452,,,,
352,ILVX,6,32.06,0.0216698534098152,0.012671059300557452,,,,
353,FCSG,6,25.12,-0.004359889021006702,0.012671059300557452,,,,
354,FARS,6,62.73,-0.01646284101599249,0.012671059300557452,,,,
355,MHRM,6,21.22,0.03765281173594137,0.012671059300557452,,,,
356,EAFC,6,45.07,-0.029082292115467534,0.012671059300557452,,,,
357,ALGO,7,99.86,-0.000400400400400458,-0.000400400400400458,,,,
358,AENO,7,108.46,-0.022882882882882982,-0.000400400400400458,,,,
359,LSST,7,122.13,0.01605657237936775,-0.000400400400400458,,,,
360,SRNA,7,136.28,-0.001977297693152802,-0.000400400400400458,,,,
361,ELLT,7,61.58,-0.04274832892896008,-0.000400400400400458,,,,
362,AMRP,7,22.23,0.01183431952662728,-0.000400400400400458,,,,
363,OTCS,7,13.55,-0.034212401995723396,-0.000400400400400458,,,,
364,HETT,7,58.44,0.0044688896528015665,-0.000400400400400458,,,,
365,HUXZ,7,84.8,-0.007258253336455245,-0.000400400400400458,,,,
366,DUCT,7,18.91,-0.018681888946548986,-0.000400400400400458,,,,
367,SMAH,7,45.11,-0.011829134720701018,-0.000400400400400458,,,,
368,NPCK,7,13.94,-0.021754385964912304,-0.000400400400400458,,,,
369,MSDP,7,33.97,0.021654135338345926,-0.000400400400400458,,,,
370,EORC,7,31.7,0.000947268708556992,-0.000400400400400458,,,,
371,CUBO,7,114.12,-0.004188481675392541,-0.000400400400400458,,,,
372,HRET,7,52.19,0.027160007872465863,-0.000400400400400458,,,,
373,ANSO,7,43.32,0.00046189376443428465,-0.000400400400400458,,,,
374,DIHO,7,13.22,0.014581734458940954,-0.000400400400400458,,,,
375,RTTH,7,42.04,0.03572308450357231,-0.000400400400400458,,,,
376,SPLZ,7,116.11,0.02398800599700146,-0.000400400400400458,,,,
377,NWIG,7,118.14,0.024986985944820406,-0.000400400400400458,,,,
378,MMBT,7,80.91,0.07865617917610979,-0.000400400400400458,,,,
379,MDGI,7,135.96,-0.004539464050373421,-0.000400400400400458,,,,
380,AGVF,7,135.2,-0.018440540148105256,-0.000400400400400458,,,,
381,RRES,7,38.93,0.009072058061171617,-0.000400400400400458,,,,
382,CTGI,7,93.06,0.009327548806941532,-0.000400400400400458,,,,
383,ALUT,7,18.22,-0.007084468664850241,-0.000400400400400458,,,,
384,ACAC,7,70.72,-0.02897157764657421,-0.000400400400400458,,,,
385,SRTX,7,290.5,-0.01545448383379655,-0.000400400400400458,,,,
386,GARI,7,16.12,-0.010435850214855602,-0.000400400400400458,,,,
387,RCRI,7,55.98,-0.0024946543121882048,-0.000400400400400458,,,,
388,ACIX,7,15.72,0.001273885350318471,-0.000400400400400458,,,,
389,CCNS,7,24.29,-0.019774011299435124,-0.000400400400400458,,,,
390,MTNS,7,22.82,0.0030769230769231992,-0.000400400400400458,,,,
391,IHOZ,7,139.04,-0.008415347311367949,-0.000400400400400458,,,,
392,NAYO,7,32.85,0.0027472527472529595,-0.000400400400400458,,,,
393,FWWG,7,37.11,-0.008019246190858031,-0.000400400400400458,,,,
394,EELT,7,89.5,0.03134362756395492,-0.000400400400400458,,,,
395,HRND,7,23.02,-0.0339907679395719,-0.000400400400400458,,,,
396,AETS,7,41.09,-0.009402121504339278,-0.000400400400400458,,,,
397,ULXY,7,45.36,-0.017331022530329254,-0.000400400400400458,,,,
398,BLBT,7,54.63,-0.002373995617238722,-0.000400400400400458,,,,
399,BENI,7,31.93,-0.002499218994064356,-0.000400400400400458,,,,
400,ITPA,7,18.59,0.011425462459194735,-0.000400400400400458,,,,
401,HTRK,7,10.75,0.007497656982193179,-0.000400400400400458,,,,
402,NGTE,7,53.35,-0.0007492039707810427,-0.000400400400400458,,,,
403,ILVX,7,32.4,0.010605115408608645,-0.000400400400400458,,,,
404,FCSG,7,25.28,0.006369426751592355,-0.000400400400400458,,,,
405,FARS,7,63.35,0.009883628248047227,-0.000400400400400458,,,,
406,MHRM,7,20.56,-0.031102733270499505,-0.000400400400400458,,,,
